"Source:","C:\Users\allan\OneDrive - Joho NZ\Safecast\1.2.1d\SafePulse\SafePulse.kicad_sch"
"Date:","2021.05.11 9:36:31 PM"
"Tool:","Eeschema (5.99.0-10336-g9846076676)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","R24","22k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.bourns.com/docs/product-datasheets/CRxxxxx.pdf","CR0805-FX-2202ELFCT-ND"
"","","R25","100","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F100R/2380830","A106053CT-ND"
"","","R26","0.1E","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/susumu/KRL1220E-M-R100-F-T5/3737982","408-1556-1-ND"
"","","R27","1.54M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-071M54L/727500","311-1.54MCRCT-ND"
"","","two_pinheader1","Conn_01x03_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"","","U1","TS4061AILT-1.25","Reference_Voltage:MAX6035xxUR30","Package_TO_SOT_SMD:SOT-23","https://www.st.com/content/ccc/resource/technical/document/datasheet/99/0a/06/84/6d/21/40/45/DM00114435.pdf/files/DM00114435.pdf/jcr:content/translations/en.DM00114435.pdf","497-15222-1-ND"
"","","U2","74HC14","74xx:74HC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD74HC14M96/390309","296-9179-1-ND"
"","","U3","MAX9910EXK+T","Amplifier_Operational:MCP6L01Ux-xOT","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://datasheets.maximintegrated.com/en/ds/MAX9910-MAX9913.pdf","MAX9910EXK+TCT-ND"
"","","U4","CD14538BM","4xxx:4538","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD14538BM/1690553","296-32849-5-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"1","1","C1","150pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/885012207111/9346002","732-12190-1-ND"
"2","5","C2, C5, C19, C23, C27","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNG/3894417","1276-6455-1-ND"
"3","1","C3","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/avx-corporation/08055C102KAT2A/563481","478-1371-1-ND"
"4","1","C4","47uF","Device:C","Capacitor_SMD:C_1210_3225Metric","https://www.digikey.com/en/products/detail/taiyo-yuden/EMK316BBJ476ML-T/7067010","587-5425-1-ND"
"5","13","C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104M125AE/2616394","445-6808-1-ND"
"6","1","C22","390pF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf","399-1132-1-ND"
"7","2","C24, C25","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B103KBANNNC/3886673","1276-1015-1-ND"
"8","2","D1, D2","BAS16J","Diode:1N4148W","Diode_SMD:D_SOD-323","https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAS16J135/2405996","1727-4797-1-ND"
"9","7","D3, D4, D5, D6, D7, D8, D9","BAV23S","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/on-semiconductor/BAV23S/965240","BAV23SFSCT-ND"
